Rod_X,Rod_Y,Rod_Z
0.048221345990896225,0.17061282694339752,0.5082459449768066
0.04821934923529625,0.17060577869415283,0.5082249045372009
0.04821843281388283,0.17060253024101257,0.5082152485847473
0.04821765050292015,0.1705997735261917,0.5082070231437683
0.04814745485782623,0.16938328742980957,0.5074671506881714
0.04821750149130821,0.17059922218322754,0.5082054138183594
0.04815182462334633,0.16939866542816162,0.5075132250785828
0.04815163463354111,0.1693979948759079,0.5075111985206604
0.048220861703157425,0.17061111330986023,0.508240818977356
0.048220034688711166,0.17060819268226624,0.5082321166992188
0.048151224851608276,0.1693965494632721,0.5075069069862366
0.04814969003200531,0.16939115524291992,0.5074906945228577
0.048217855393886566,0.17060048878192902,0.5082091689109802
0.04821956902742386,0.1706065684556961,0.5082272291183472
0.04815179854631424,0.16939856112003326,0.5075129270553589
0.04821902513504028,0.1706046462059021,0.5082215070724487
0.048217300325632095,0.17059852182865143,0.5082033276557922
0.048218514770269394,0.17060281336307526,0.5082160830497742
0.04822314903140068,0.17061921954154968,0.50826495885849
0.04822126030921936,0.17061254382133484,0.508245050907135
0.04815404862165451,0.1694064736366272,0.5075366497039795
0.04822041094303131,0.17060953378677368,0.5082361102104187
0.04822266846895218,0.17061752080917358,0.5082598924636841
0.04815518483519554,0.16941048204898834,0.5075486302375793
0.04822399467229843,0.17062221467494965,0.5082738399505615
0.04822257533669472,0.17061719298362732,0.5082588791847229
0.04815385118126869,0.16940578818321228,0.5075345635414124
0.04822223260998726,0.17061597108840942,0.5082553029060364
0.04815544933080673,0.16941140592098236,0.5075514316558838
0.048224058002233505,0.17062243819236755,0.5082745552062988
0.04822288081049919,0.17061826586723328,0.5082620978355408
0.04822542145848274,0.17062725126743317,0.5082889199256897
0.04822390526533127,0.17062190175056458,0.5082729458808899
0.048156581819057465,0.1694153994321823,0.5075633525848389
0.04815717041492462,0.16941747069358826,0.5075695514678955
0.04815719276666641,0.16941754519939423,0.5075697898864746
0.04822308570146561,0.17061901092529297,0.5082643032073975
0.04815737530589104,0.16941818594932556,0.5075716972351074
0.04815787822008133,0.16941995918750763,0.5075770020484924
0.04815710335969925,0.16941723227500916,0.5075688362121582
0.04815655201673508,0.16941529512405396,0.507563054561615
0.04815826192498207,0.16942131519317627,0.5075810551643372
0.0481586754322052,0.16942276060581207,0.5075854063034058
0.04815831780433655,0.1694214940071106,0.5075816512107849
0.04815928637981415,0.169424906373024,0.5075918436050415
0.04815792292356491,0.16942010819911957,0.5075774788856506
0.04815630614757538,0.1694144308567047,0.5075604319572449
0.04822486266493797,0.17062528431415558,0.5082830190658569
0.04815661534667015,0.16941551864147186,0.5075637102127075
0.04822475463151932,0.17062489688396454,0.5082818865776062
0.04815773293375969,0.16941943764686584,0.5075754523277283
0.04815700650215149,0.1694168895483017,0.507567822933197
0.04815585911273956,0.16941285133361816,0.5075557231903076
0.04822511598467827,0.1706261783838272,0.5082857012748718
0.04815618321299553,0.1694139838218689,0.5075591206550598
0.0482221357524395,0.17061564326286316,0.5082542896270752
0.048157334327697754,0.16941805183887482,0.507571280002594
0.04822678491473198,0.17063209414482117,0.5083032846450806
0.0481581836938858,0.1694210320711136,0.5075802206993103
0.048157498240470886,0.16941861808300018,0.5075730085372925
0.04815845936536789,0.1694220006465912,0.5075831413269043
0.04822327196598053,0.1706196665763855,0.508266270160675
0.04822436347603798,0.1706235110759735,0.5082777738571167
0.04822354391217232,0.1706206202507019,0.5082691311836243
0.048155903816223145,0.1694130152463913,0.5075562000274658
0.0481577143073082,0.16941937804222107,0.507575273513794
0.04822465777397156,0.17062456905841827,0.508280873298645
0.04815664514899254,0.16941562294960022,0.5075640082359314
0.048156410455703735,0.16941480338573456,0.5075615644454956
0.04815540090203285,0.16941124200820923,0.5075508952140808
0.04815595969557762,0.16941319406032562,0.5075567960739136
0.04815755411982536,0.1694188266992569,0.5075736045837402
0.048156868666410446,0.1694164127111435,0.5075663924217224
0.04815595969557762,0.16941319406032562,0.5075567960739136
0.04815777391195297,0.16941958665847778,0.5075759291648865
0.04815608263015747,0.16941365599632263,0.5075581073760986
0.0481550432741642,0.16940999031066895,0.50754714012146
0.04815548658370972,0.1694115400314331,0.5075517892837524
0.04815560206770897,0.16941194236278534,0.5075530409812927
0.04815489053726196,0.16940943896770477,0.507545530796051
0.04815708473324776,0.16941717267036438,0.5075686573982239
0.04815521463751793,0.1694105863571167,0.5075489282608032
0.04815826565027237,0.16942133009433746,0.5075811147689819
0.04815811291337013,0.1694207787513733,0.507579505443573
0.0481574684381485,0.16941851377487183,0.5075727105140686
0.04822440445423126,0.17062366008758545,0.5082781910896301
0.048153772950172424,0.1694055199623108,0.5075337290763855
0.048153866082429886,0.16940584778785706,0.5075347423553467
0.0481584295630455,0.16942191123962402,0.5075828433036804
0.0481577143073082,0.16941937804222107,0.507575273513794
0.04822453856468201,0.17062413692474365,0.5082796216011047
0.04815854877233505,0.16942232847213745,0.5075840950012207
0.048159100115299225,0.16942425072193146,0.5075898766517639
0.048157062381505966,0.16941708326339722,0.5075684189796448
0.048160869628190994,0.16943047940731049,0.5076085329055786
0.04816162586212158,0.16943314671516418,0.5076165199279785
0.04816266521811485,0.16943681240081787,0.5076274871826172
0.04816049709916115,0.16942916810512543,0.5076045989990234
0.04816295951604843,0.16943784058094025,0.5076305866241455
0.048162322491407394,0.16943559050559998,0.5076238512992859
0.04816345125436783,0.16943956911563873,0.507635772228241
0.04816224426031113,0.1694353073835373,0.507623016834259
0.048161979764699936,0.16943438351154327,0.5076202154159546
0.04816363379359245,0.16944019496440887,0.5076376795768738
0.04816233366727829,0.16943563520908356,0.5076239705085754
0.04816439747810364,0.16944289207458496,0.5076457262039185
0.04816404730081558,0.16944165527820587,0.5076420307159424
0.04816577583551407,0.16944773495197296,0.5076602697372437
0.04816342517733574,0.16943947970867157,0.5076354742050171
0.048164594918489456,0.16944359242916107,0.5076478123664856
0.04816492646932602,0.169444739818573,0.5076512694358826
0.048164255917072296,0.16944240033626556,0.5076442360877991
0.04816543310880661,0.16944652795791626,0.5076566338539124
0.04816083610057831,0.16943036019802094,0.50760817527771
0.048163894563913345,0.1694411188364029,0.5076404213905334
0.04816310852766037,0.16943834722042084,0.5076321363449097
0.048162125051021576,0.16943489015102386,0.5076217651367188
0.048162806779146194,0.16943730413913727,0.5076289772987366
0.048164788633584976,0.1694442629814148,0.507649838924408
0.04816531389951706,0.16944611072540283,0.5076553821563721
0.0481642447412014,0.16944235563278198,0.5076441168785095
0.04816708341240883,0.16945233941078186,0.5076740384101868
0.04816340655088425,0.1694394201040268,0.5076352953910828
0.0481637641787529,0.16944067180156708,0.5076390504837036
0.048162877559661865,0.16943754255771637,0.5076296925544739
0.04816466197371483,0.16944383084774017,0.5076485276222229
0.048166003078222275,0.16944853961467743,0.5076626539230347
0.04816768690943718,0.16945447027683258,0.5076804161071777
0.04816751927137375,0.16945387423038483,0.5076786279678345
0.04816742241382599,0.16945353150367737,0.5076776146888733
0.04817050322890282,0.1694643795490265,0.5077100992202759
0.04816795885562897,0.169455423951149,0.507683277130127
0.048165418207645416,0.16944646835327148,0.507656455039978
0.04816463217139244,0.16944371163845062,0.5076481699943542
0.048161983489990234,0.16943439841270447,0.5076202750205994
0.048163123428821564,0.1694384068250656,0.507632315158844
0.048161257058382034,0.16943185031414032,0.5076126456260681
